shop_title,category_title,title,transacted_date,price_sell,avg_margin,avg_cost,total
Buller Grocer,Ice Cream,Ice Cream,2/11/2022,12.99,6.27,6.72,1
Buller Grocer,Ice Cream,Ice Cream,18/11/2022,12.34,7.21,5.13,1
Buller Grocer,Ice Cream,Ice Cream,23/12/2022,12.34,4.2,8.14,1
Buller Grocer,Ice Cream,Ice Cream,24/12/2022,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,27/12/2022,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,29/12/2022,12.99,9.7,3.29,2
Buller Grocer,Ice Cream,Ice Cream,30/12/2022,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,6/01/2023,12.99,4.85,8.14,2
Buller Grocer,Ice Cream,Ice Cream,17/02/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,25/02/2023,12.34,4.2,8.14,1
Buller Grocer,Ice Cream,Ice Cream,12/03/2023,12.99,5.86,7.14,1
Buller Grocer,Ice Cream,Ice Cream,17/03/2023,12.34,5.21,7.14,1
Buller Grocer,Ice Cream,Ice Cream,20/03/2023,12.99,5.86,7.14,1
Buller Grocer,Ice Cream,Ice Cream,8/04/2023,12.34,5.21,7.13,1
Buller Grocer,Ice Cream,Ice Cream,8/04/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,15/04/2023,12.99,5.86,7.13,2
Buller Grocer,Ice Cream,Ice Cream,3/05/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,8/05/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,10/05/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,22/05/2023,12.34,5.62,6.72,1
Buller Grocer,Ice Cream,Ice Cream,22/05/2023,12.99,6.27,6.72,1
Buller Grocer,Ice Cream,Ice Cream,26/05/2023,12.99,6.27,6.72,1
Buller Grocer,Ice Cream,Ice Cream,10/06/2023,12.99,6.27,6.72,1
Buller Grocer,Ice Cream,Ice Cream,11/06/2023,12.99,6.27,6.72,1
Buller Grocer,Ice Cream,Ice Cream,13/06/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,19/06/2023,12.99,5.86,7.13,2
Buller Grocer,Ice Cream,Ice Cream,21/06/2023,12.99,5.86,7.13,2
Buller Grocer,Ice Cream,Ice Cream,24/06/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,26/06/2023,12.99,17.57,-4.58,3
Buller Grocer,Ice Cream,Ice Cream,27/06/2023,12.99,11.71,1.28,2
Buller Grocer,Ice Cream,Ice Cream,28/06/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,29/06/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,30/06/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,1/07/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,2/07/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,3/07/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,4/07/2023,12.99,4.85,8.14,5
Buller Grocer,Ice Cream,Ice Cream,5/07/2023,12.99,4.85,8.14,3
Buller Grocer,Ice Cream,Ice Cream,6/07/2023,12.99,5.82,7.17,6
Buller Grocer,Ice Cream,Ice Cream,7/07/2023,12.99,4.85,8.14,3
Buller Grocer,Ice Cream,Ice Cream,8/07/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,11/07/2023,12.99,4.85,8.14,2
Buller Grocer,Ice Cream,Ice Cream,12/07/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,13/07/2023,12.99,6.06,6.93,5
Buller Grocer,Ice Cream,Ice Cream,23/07/2023,12.99,8.79,4.2,3
Buller Grocer,Ice Cream,Ice Cream,25/07/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,26/07/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,28/07/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,3/08/2023,12.99,5.86,7.13,3
Buller Grocer,Ice Cream,Ice Cream,4/08/2023,12.34,5.21,7.13,1
Buller Grocer,Ice Cream,Ice Cream,5/08/2023,12.99,5.86,7.13,5
Buller Grocer,Ice Cream,Ice Cream,9/08/2023,12.34,5.21,7.13,1
Buller Grocer,Ice Cream,Ice Cream,9/08/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,13/08/2023,12.99,5.86,7.13,1
Buller Grocer,Ice Cream,Ice Cream,14/08/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,15/08/2023,12.99,7.28,5.71,3
Buller Grocer,Ice Cream,Ice Cream,18/08/2023,12.99,4.85,8.14,2
Buller Grocer,Ice Cream,Ice Cream,19/08/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,20/08/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,21/08/2023,12.99,4.85,8.14,3
Buller Grocer,Ice Cream,Ice Cream,22/08/2023,12.99,19.41,-6.42,4
Buller Grocer,Ice Cream,Ice Cream,23/08/2023,12.99,4.85,8.14,1
Buller Grocer,Ice Cream,Ice Cream,24/08/2023,12.99,4.85,8.14,2
Buller Grocer,Ice Cream,Ice Cream,25/08/2023,12.99,7.28,5.71,3
Buller Grocer,Ice Cream,Ice Cream,26/08/2023,12.99,4.85,8.14,2
Buller Grocer,Ice Cream,Ice Cream,28/08/2023,12.99,7.86,5.13,1
Buller Grocer,Ice Cream,Ice Cream,1/09/2023,12.99,7.86,5.13,1
Buller Grocer,Ice Cream,Ice Cream,2/09/2023,12.99,7.86,5.13,1
Buller Grocer,Ice Cream,Ice Cream,8/09/2023,12.99,7.86,5.13,1
Buller Grocer,Ice Cream,Ice Cream,12/09/2023,12.99,7.86,5.13,1
Buller Grocer,Ice Cream,Ice Cream,13/09/2023,12.99,8.31,4.68,1
Buller Grocer,Ice Cream,Ice Cream,16/09/2023,12.99,8.31,4.68,1
Buller Grocer,Confectionery,Confectionery,5/11/2022,6.26,8.11,-1.85,2
Buller Grocer,Confectionery,Confectionery,12/11/2022,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,17/12/2022,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,26/12/2022,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,28/12/2022,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,29/12/2022,6.26,6.25,0.01,7
Buller Grocer,Confectionery,Confectionery,31/12/2022,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,1/01/2023,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,5/01/2023,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,13/01/2023,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,21/01/2023,3.76,1.07,2.69,1
Buller Grocer,Confectionery,Confectionery,21/01/2023,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,2/02/2023,5.95,3.26,2.69,1
Buller Grocer,Confectionery,Confectionery,9/02/2023,6.26,2.79,3.47,1
Buller Grocer,Confectionery,Confectionery,11/03/2023,6.26,4.06,2.2,2
Buller Grocer,Confectionery,Confectionery,12/03/2023,6.26,4.06,2.2,2
Buller Grocer,Confectionery,Confectionery,7/04/2023,6.26,3.57,2.69,1
Buller Grocer,Confectionery,Confectionery,8/04/2023,3.13,0.44,2.69,1
