shop_title,category_title,title,transacted_date,price_sell,avg_margin,avg_cost,total
Holiday Destination,Ice Cream,Ice Cream,2/11/2022,12.99,6.27,6.72,1
Holiday Destination,Ice Cream,Ice Cream,18/11/2022,12.34,7.21,5.13,1
Holiday Destination,Ice Cream,Ice Cream,23/12/2022,12.34,4.2,8.14,1
Holiday Destination,Ice Cream,Ice Cream,24/12/2022,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,27/12/2022,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,29/12/2022,12.99,9.7,3.29,2
Holiday Destination,Ice Cream,Ice Cream,30/12/2022,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,6/01/2023,12.99,4.85,8.14,2
Holiday Destination,Ice Cream,Ice Cream,17/02/2023,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,25/02/2023,12.34,4.2,8.14,1
Holiday Destination,Ice Cream,Ice Cream,12/03/2023,12.99,5.86,7.14,1
Holiday Destination,Ice Cream,Ice Cream,17/03/2023,12.34,5.21,7.14,1
Holiday Destination,Ice Cream,Ice Cream,20/03/2023,12.99,5.86,7.14,1
Holiday Destination,Ice Cream,Ice Cream,8/04/2023,12.34,5.21,7.13,1
Holiday Destination,Ice Cream,Ice Cream,8/04/2023,12.99,5.86,7.13,1
Holiday Destination,Ice Cream,Ice Cream,15/04/2023,12.99,5.86,7.13,2
Holiday Destination,Ice Cream,Ice Cream,3/05/2023,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,8/05/2023,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,10/05/2023,12.99,4.85,8.14,1
Holiday Destination,Ice Cream,Ice Cream,22/05/2023,12.34,5.62,6.72,1
Holiday Destination,Ice Cream,Ice Cream,22/05/2023,12.99,6.27,6.72,1
Holiday Destination,Ice Cream,Ice Cream,26/05/2023,12.99,6.27,6.72,1
